quarter,qoq_pct
1947Q1,
1947Q2,-0.2652242815143535
1947Q3,-0.20487924986632988
1947Q4,1.5659868755385942
1948Q1,1.5060377474787279
1948Q2,1.6523774357252607
1948Q3,0.5745182699445239
1948Q4,0.1132864872891215
1949Q1,-1.3766138361970492
1949Q2,-0.33965747629053356
1949Q3,1.0339403708977013
1949Q4,-0.8378052594771535
1950Q1,3.9316863298236138
1950Q2,3.050930393537543
1950Q3,3.865065794426248
1950Q4,1.9149569097859143
1951Q1,1.3579559974273403
1951Q2,1.7321346031001994
1951Q3,2.0599886770917175
1951Q4,0.21895406271732476
1952Q1,1.0669261057901114
1952Q2,0.21429980124298975
1952Q3,0.7212305216182546
1952Q4,3.283945586680592
1953Q1,1.8590399730515017
1953Q2,0.7730915133917993
1953Q3,-0.5625159718087858
1953Q4,-1.5137187218481563
1954Q1,-0.4775704873821396
1954Q2,0.1094126512375837
1954Q3,1.1296894117729606
1954Q4,1.9569641469726173
1955Q1,2.8565961103930393
1955Q2,1.627544983921192
1955Q3,1.3508213595838425
1955Q4,0.600666135498118
1956Q1,-0.38804268789048857
1956Q2,0.8265761619437484
1956Q3,-0.08970338716173254
1956Q4,1.645911297301339
1957Q1,0.6402678719652055
1957Q2,-0.21914023948252925
1957Q3,0.9799218333296889
1957Q4,-1.0345383590341206
1958Q1,-2.595903609794814
1958Q2,0.6568988478314663
1958Q3,2.3131110675329136
1958Q4,2.3382300045676763
1959Q1,1.9184063882625502
1959Q2,2.2534335641617664
1959Q3,0.06972672666276658
1959Q4,0.28498068690987477
1960Q1,2.2486272585405365
1960Q2,-0.5383572810156778
1960Q3,0.4899312398270572
1960Q4,-1.283131150642114
1961Q1,0.6750179668602918
1961Q2,1.6978546831256214
1961Q3,1.9203657957552078
1961Q4,1.961669610399941
1962Q1,1.7836631964615934
1962Q2,0.9047543909272315
1962Q3,1.2295666652338832
1962Q4,0.32940187184664627
1963Q1,1.0920904258454156
1963Q2,1.122414332466426
1963Q3,2.1988309915998316
1963Q4,0.6559047456915268
1964Q1,2.108713584963695
1964Q2,1.0890683785215627
1964Q3,1.5626016602433346
1964Q4,0.30919108659188677
1965Q1,2.4199081202691763
1965Q2,1.263470828688229
1965Q3,2.2231604683935924
1965Q4,2.303901712949852
1966Q1,2.433835311415322
1966Q2,0.3414704659112866
1966Q3,0.8468325707038149
