date,gdp_block_level,gdp_block_growth
1990Q1,1464292,
1990Q2,1453049,-0.7707741852250649
1990Q3,1461748,0.5968872499119371
1990Q4,1453716,-0.5509943062644851
1991Q1,1434553,-1.3269734358956953
1991Q2,1459369,1.715084808955325
1991Q3,1454828,-0.3116469940314559
1991Q4,1461152,0.43374851095379086
1992Q1,1463291,0.14628429286815958
1992Q2,1457956,-0.36525538109248856
1992Q3,1465777,0.5350022491699136
1992Q4,1480803,1.0199030910710505
1993Q1,1475388,-0.3663502159595211
1993Q2,1485720,0.6978497191031607
1993Q3,1488768,0.20494290559174289
1993Q4,1494998,0.41759367547307136
1994Q1,1502283,0.486108199094204
1994Q2,1527769,1.6822550265256808
1994Q3,1542104,0.9339216438306153
1994Q4,1548877,0.4382434469855312
1995Q1,1552087,0.20703246774669282
1995Q2,1544424,-0.4949451588199594
1995Q3,1548324,0.2522030289700439
1995Q4,1555224,0.44465311112897865
1996Q1,1564564,0.5987604224598542
1996Q2,1581297,1.063820544379368
1996Q3,1581684,0.02447058657200074
1996Q4,1587169,0.3461823869891134
1997Q1,1611002,1.4904419551262649
1997Q2,1617725,0.41644956147894874
1997Q3,1633732,0.9846127024262685
1997Q4,1643810,0.6149749880851374
1998Q1,1668290,1.4782431556870534
1998Q2,1675210,0.41393808170333557
1998Q3,1700242,1.4832063319325073
1998Q4,1707423,0.42146224054864234
1999Q1,1738375,1.7965552539022767
1999Q2,1750395,0.6890707934863016
1999Q3,1779391,1.6429694179558751
1999Q4,1788058,0.48589437728949747
2000Q1,1814653,1.4764150161756362
2000Q2,1835975,1.168141068214723
2000Q3,1853089,0.927830082321357
2000Q4,1865055,0.6436566906490526
2001Q1,1890250,1.3418552178681153
2001Q2,1899573,0.492002861693841
2001Q3,1905848,0.32979298150817016
2001Q4,1919941,0.7367402512610255
2002Q1,1944515,1.27181322483505
2002Q2,1941321,-0.16439194651081124
2002Q3,1959011,0.9071084872273261
2002Q4,1966327,0.37275814063573165
2003Q1,1967522,0.06075474868278974
2003Q2,1968626,0.05609545316644926
2003Q3,1994707,1.3161334906628852
2003Q4,2005278,0.5285532125759218
2004Q1,2024529,0.9554376398430264
2004Q2,2046861,1.0970319211375923
2004Q3,2050375,0.17153031270797925
2004Q4,2056716,0.3087832745025665
2005Q1,2065303,0.4166410888350569
2005Q2,2087118,1.0507220101560577
2005Q3,2107710,0.9817883072392064
2005Q4,2134922,1.2828061997518958
2006Q1,2145726,0.5047844597894979
2006Q2,2148790,0.14269363625132314
2006Q3,2161712,0.5995607337260012
2006Q4,2183133,0.9860500691017293
2007Q1,2193926,0.4931631890134014
2007Q2,2215546,0.9806241315175157
2007Q3,2211270,-0.19318631404008357
2007Q4,2208921,-0.10628500990694789
2008Q1,2225345,0.7407798768126028
2008Q2,2241838,0.7384105347830072
2008Q3,2250269,0.375369949984794
2008Q4,2240249,-0.44627442223497127
2009Q1,2198341,-1.8884035417729095
2009Q2,2197688,-0.029708630439095884
2009Q3,2205516,0.355559644611958
2009Q4,2229202,1.068217876834865
2010Q1,2245894,0.7459986293486764
2010Q2,2264329,0.8174807615322521
2010Q3,2269573,0.23132402678402997
2010Q4,2304171,1.5129250757231816
2011Q1,2299711,-0.1937495963273861
2011Q2,2297788,-0.08365418294342675
2011Q3,2333144,1.5269793200939574
2011Q4,2347287,0.6043478921545997
2012Q1,2355410,0.345461682033843
2012Q2,2360176,0.20213825483477166
2012Q3,2360405,0.009702195563754401
2012Q4,2370213,0.41466100427172137
2013Q1,2373023,0.11848452527924991
2013Q2,2383358,0.4345747855419191
2013Q3,2394720,0.4755896164100548
2013Q4,2415376,0.8588654768630022
2014Q1,2424156,0.3628454004594772
2014Q2,2449664,1.0467449722627364
2014Q3,2472341,0.9214602771177027
2014Q4,2483373,0.44522416844223756
2015Q1,2470922,-0.5026356409443267
2015Q2,2471054,0.005341992758722824
2015Q3,2499814,1.1571548838043455
2015Q4,2496932,-0.11535508587332544
2016Q1,2509144,0.4878880873560476
2016Q2,2490972,-0.7268663369973893
2016Q3,2511226,0.8098084356618074
2016Q4,2533382,0.8784088858162065
2017Q1,2550211,0.6620931879215419
2017Q2,2567064,0.6586732560059261
2017Q3,2561924,-0.20042946954443863
2017Q4,2586201,0.9431464837435399
2018Q1,2607362,0.814897868806419
2018Q2,2632876,0.9737802600954026
2018Q3,2651146,0.691521451128807
2018Q4,2658059,0.26041578378634966
2019Q1,2649925,-0.30648194745754864
2019Q2,2683079,1.2433677950680178
2019Q3,2705568,0.8346856109611167
2019Q4,2713505,0.29292853871591973
2020Q1,2664204,-1.8335830835399136
2020Q2,2442193,-8.700892017832551
2020Q3,2649708,8.155303910310963
2020Q4,2670673,0.7881055327818132
2021Q1,2705723,1.3038658818883775
2021Q2,2703688,-0.07523924863530596
2021Q3,2762204,2.14121448736897
2021Q4,2775338,0.47436298012559774
2022Q1,2798586,0.8341748042751007
2022Q2,2790714,-0.2816812554341297
2022Q3,2799611,0.31830018868905796
2022Q4,2827742,0.9998034362677544
2023Q1,2870117,1.4874282170179498
2023Q2,2872322,0.07679664018613863
2023Q3,2877065,0.1649915400010471
2023Q4,2881705,0.16114555726627344
2024Q1,2909332,0.9541368701759367
2024Q2,2924657,0.5253707283069176
2024Q3,2952592,0.9506219787303039
2024Q4,2994610,1.4130577422273305
2025Q1,2992430,-0.0728239696526245
2025Q2,2975227,-0.576542775582034
