quarter,Consumption_growth,Government_growth,Investment_growth,Exports_growth,Imports_growth,CPI_growth,Unemp_growth_pct,M.BCPI_growth,M.BCNE_growth,M.ENER_growth,M.MTLS_growth,M.FOPR_growth,M.AGRI_growth,M.FISH_growth,US_GDP_growth,TARIFFVOL_growth,Population_growth_diff,TPUQ_growth_diff
1992Q3,0.5343682163569063,-0.021141378161593227,2.019161105386069,1.5275612451783438,1.6602555240194272,0.35756853396902155,4.84845454545455,0.550353426015282,-0.7344931685910883,3.331615132749133,1.8451771192978583,0.30882332845958427,-3.5083555819242496,-14.716525934861268,0.9881101865980568,-12.756711005735822,0.04622200393817888,44.428894940617326
1992Q4,0.3662825995695007,1.6070845000929035,-4.13924519646417,2.735923869944479,-2.079525137095062,0.39588281868567776,1.7341045474290606,-0.9364461738002539,-1.7024612008151863,0.7946321927914113,-8.24909971439216,1.8336125982535645,-0.3586727060318595,7.439762226694646,1.0428555994048683,-30.75140516238474,0.003465146280223763,-26.211812640542334
1993Q1,0.5345873695401959,-0.9566933851305803,-1.108023043934403,3.6219781762043546,4.538621788325647,0.6703470031545589,-5.113637816374372,4.659718767184251,9.288083694820127,-4.7504199747666505,-0.9406255498260796,20.817893596243643,3.313723876912955,16.9449454558108,0.16694372234020705,62.00202324082298,-0.1540388797471426,-12.629146998140284
1993Q2,0.3644970884987053,0.42693409742120547,2.3767425412719367,2.8645630525542254,3.143548204328672,0.3133568350959681,4.4910193086884265,-3.107447114602735,-4.967312631333165,1.094067883436045,-1.0807192042846192,-11.393456236505573,1.3777450375296096,-7.313771095032406,0.5821709439287392,70.12062267033666,0.0270312219698976,-5.884196165766709
1993Q3,0.6607805831913005,-1.1558421384664674,2.1679453150565298,0.7679571287027676,0.5777259192471851,0.35142522452167313,-1.7191982003433304,-3.7829393309490977,-2.2449480990111126,-7.092029158613322,-0.272095689286056,-5.030927835051546,1.3040318937920903,-16.63946837596776,0.477154822775705,-20.94274738517752,0.0576186925691502,22.273635302606053
1993Q4,0.25332364228207727,-0.08146378229285656,1.3803749210388183,2.91285287757328,2.6151545626782013,0.46692607003890885,-1.166151943484528,3.00980905223891,6.15909019509282,-3.4150408277753286,-3.294831311284696,16.11994894669666,1.0274702905996413,10.87034659820283,1.360149302911906,45.92958518076819,0.06173619281448772,35.334998928246584
1994Q1,1.63442387663022,-1.4566301064707354,1.295322009504285,0.6538789942960088,-0.04992034768054321,-0.6196746707978096,-2.3599115044247942,2.633978584269059,5.992631283014971,-4.440106162422075,8.93233082706766,5.690651558073667,4.265730240055254,5.93391070766951,0.9703629882517051,-23.76302616021635,-0.18433450201955637,-82.54747300721507
1994Q2,0.15651468210773345,1.2657856763614639,3.139714705283536,7.106208392856583,4.605615906102867,-0.3117692907248837,-3.625378738785101,0.2678072802964948,-1.5230410564963104,4.573811594080568,4.095343272593421,-3.5573376790462463,-3.4912396937573753,-0.4251691386226275,1.355182630845131,-20.105277862388384,0.07781678781459966,32.68499339579201
1994Q3,0.43697749196141,0.0948891726629153,0.06215954001940194,3.94215000132494,0.9219243151394219,0.5863956215793609,-4.70219583140935,-0.36835909315307,-0.07796773553343517,-1.0203834510595255,6.284653371559923,1.7697934499855794,-9.153492629531456,0.7881102915349381,0.5845845553328566,-28.56614164471236,0.07389388937926178,-15.009471681462882
1994Q4,1.1691675283888037,-0.5177001388246172,0.7043169846166819,3.9623143904415015,4.743533995442917,0.3886513797124014,-3.6183959271039234,0.794074299944092,3.138167321633767,-4.493071584115638,10.110156500659517,2.8706879601511748,-2.6721803564306645,-0.7884820631221201,1.1455701559946796,45.613519711360695,0.0075633400924868255,48.90403148502622
1995Q1,-0.03828980636749746,-0.11532013450785694,-2.4845471255361073,2.763654792460235,0.019594753919771613,0.9678668215253428,-1.3651843935279517,2.718918987054564,4.063329619389533,-0.7173233591228012,2.5339679045121466,3.867309448467715,4.98425570461114,13.064501964916886,0.3547805075420518,106.98707996374507,-0.17354349944911363,-53.03730286826207
1995Q2,0.7668808762543833,-0.29429266273414134,-0.2359357502500381,-2.160638673019455,0.8009031743923423,0.7668711656441785,-1.3840796326671234,0.9179040373051617,0.1083896210328783,3.298584232165269,-2.2513656600953613,-0.1911752678498413,3.3568214968054955,-0.6922363700794687,0.298322846097121,-23.902843459602995,0.08248519489411077,64.63694783601423
1995Q3,1.0887099941095713,-0.8079635167658084,-0.2416348913928279,0.10352079087716515,-0.44470504526109567,0.19025875190257224,-0.7017578947368541,3.3512488144167074,7.05354195550274,-6.472268249831381,2.533649187035647,9.37323950875253,8.584603764584276,-2.8605925513142005,0.8507255022384363,-34.66673171067593,0.07176816531138108,-80.81408682241444
1995Q4,0.0360496988607073,-0.9149322302699381,0.4810046124906542,3.774330653239133,1.0690816684423954,0.11393847322447304,-1.4134240782128549,2.3331058662964477,1.1655586664528927,5.781489263202877,-3.9654285204204998,3.905225697696202,1.4973457807065937,0.2697248906758709,0.6790820510536255,-32.67960320415848,0.009934190303306778,32.95486314660833
1996Q1,1.365666958688272,0.07293320176755547,2.2028841797526066,0.2806966285100021,2.164326426651564,0.3793626707131903,2.1505376344086002,0.1747588442921666,-3.885542903123551,11.702772307226184,-1.2050696031581043,-7.775574583145561,0.9125667291876693,-5.539579537983608,0.7490501226268043,-28.434760248408743,-0.1485947125173137,44.94965678239859
1996Q2,0.18955530356430383,-0.008903897268808247,0.025510204081635734,3.880772512538755,-0.15605773174733883,0.7180650037792891,-0.7017578947368541,2.830286127466186,2.743705207078073,3.0800991538768807,-2.2270186507277745,0.4495567956373625,11.443328448368305,0.1604513890733683,1.6679441018912833,83.14437887744471,0.05667824040238578,-54.76709918344077
1996Q3,0.42091288540984095,-1.526659652849005,4.083936433077873,2.084762825360742,3.862287652811336,0.18761726078799779,2.4735053877563917,-1.1886824041520194,-2.1580779772339964,0.9297498008200789,-6.065683266729316,3.5336582897950164,-7.017656397838234,1.4173487303801746,0.8970337411311258,-21.62929710454753,0.09651929197485032,-3.143326810303048
1996Q4,1.831338366569235,-0.2243939688259866,4.771660058887561,-2.6714027440138732,2.151657391126993,0.7490636704119868,1.7241309750299694,2.616062351745163,-2.7444794952681373,15.85423259923382,-0.43145525760771575,-0.16445050039937126,-10.234387126817401,27.117101567526003,1.0383695301930063,143.12194106264525,0.00565594350345755,23.628211607089867
1997Q1,1.734837187945426,0.8129917559547728,1.8583127578327474,5.66260292720302,6.091828153454304,0.4832713754646889,-4.067796748060914,-1.9846773660920691,-1.2338631203373418,-2.599781215814978,4.860985027294618,-3.955195783132548,-2.9396507003285666,8.27439217574133,0.6454431985977394,-14.469100339204132,-0.1850743463494675,-1.273237577237496
