,quarter,Consumption_growth,Government_growth,Investment_growth,Exports_growth,Imports_growth,CPI_growth,Population_growth,Unemployment_rate,M.BCPI_growth,M.BCNE_growth,M.ENER_growth,M.MTLS_growth,M.FOPR_growth,M.AGRI_growth,M.FISH_growth,US_GDP_growth,TPUQ,TARIFFVOL,tbill_3m
0,2000Q1,1.0658014207124866,1.1340153745398096,0.8977797403744381,3.329394528,2.131251751549912,0.6398862424457974,0.1107368575984812,6.866667,7.957180033120426,4.561767759157664,11.01932086101838,4.5806023084731695,3.830421444267973,6.1778634492277495,2.36635601,0.3627934087263806,32.37723684436769,0.15628648,5.27
1,2000Q2,0.8651053901297612,1.1021240879813154,0.6828706310921806,1.4836097548810878,0.5757934728533698,0.4592016955139444,0.2232794529178461,6.666667,5.380915336,-2.772813661,16.407504040509924,-4.378774806,-5.572959777,3.9334782706143656,2.610905730129409,1.821287813135264,37.32516145334657,0.148465937,5.53
2,2000Q3,1.2819438077149805,0.4676340639079068,1.2017809370695076,0.8272339529250772,0.9795223054264168,0.9142053445851062,0.2997316796773841,6.9,4.086173553203443,-4.956893408,15.686097974733926,1.0652430007268563,-8.46389419,-4.017510567,-5.350436911,0.1019325863560904,31.52960320607463,0.138617227,5.56
3,2000Q4,0.234856842,0.6102939128443285,0.4506851867643213,0.1789559625585024,-0.874907743,1.0801393728222974,0.3201455529980856,6.9,5.740799936069063,-3.221647507,17.439388540041058,-3.608451962,-3.716543832,-1.716506774,-5.043167952,0.5970387927816567,27.40089206194314,0.107933189,5.49
4,2001Q1,0.774140607,1.2808563650625215,2.7218477249289386,-1.676192197,-2.666060962,0.2412961047914441,0.1314710263643936,7,-5.848566435,-1.0483078,-10.27857125,-0.832325623,-2.01309329,-0.196593896,13.515337398521844,-0.327798808,23.90426173219079,0.124375358,4.58
5,2001Q2,0.1839823930002149,1.256457682250134,1.326852619883501,-1.294039677,-0.702814445,1.3067400275103225,0.280799902,7.1,-4.352624819,10.84416521084095,-19.07690394,-2.61263248,17.277177474271177,15.588996541377488,-1.778130596,0.62450293,30.75592744469702,0.0900584,4.3
6,2001Q3,0.2811537527636076,0.2870460353453508,1.2270123969937874,-2.121027103,-2.295097754,0.033944331,0.355404271,7.166667,-13.88603319,-4.079006348,-23.75858077,-6.154010097,-6.46596113,1.815119389676001,-5.354126951,-0.400639195,28.90472777833688,0.05658221,3.05
7,2001Q4,1.2416368247333276,0.1354855497034623,-2.698815314,0.3572624150061099,-2.385383104,-0.508992195,0.3482109052119986,7.633333,-13.15036119,-9.367180198,-17.15067009,-2.590379402,-13.80130247,-8.078861836,-10.28049551,0.2747754478590769,30.66379664625423,0.088610417,1.95
8,2002Q1,1.5234764920389663,0.6953280407161255,0.2524028877589179,1.6961047009715458,0.611579626,0.7162346521146112,0.1285719531188833,7.933333,6.428310937806825,5.415474685649646,7.528271896935923,5.417613801946719,6.663677251912548,1.7001905568494902,22.82605912128997,0.8363586564324121,39.15348517850938,0.118692261,2.3
9,2002Q2,1.292316772,0.4090361695942901,1.3490817984086243,-0.159522508,4.806028921235983,1.083643752116492,0.2688128575359272,7.7,10.58159916707304,-0.926159672,25.49897446778415,2.2447681972742384,-1.481585284,-1.936168884,-10.8479076,0.6127065840058066,39.15331952426894,0.090744735,2.7
10,2002Q3,0.2144538465210566,0.9872589826683154,1.564145983,2.2647098424666723,1.874700773,1.1055276381909618,0.3408251490224057,7.533333,-1.00946297,-3.181883331,1.787052744,-1.995403542,-7.388729408,3.7046472623824434,-7.934565269,0.4065114300350947,34.26853907387859,0.071595163,2.83
11,2002Q4,0.9867950961939044,0.7579236810928647,0.2707433703537543,-1.40070922,-0.232291156,0.8614976805831454,0.2917102570126229,7.566667,4.483559879122057,-2.332428654,12.983489651964964,2.110519491268237,-6.151912873,-0.970357026,5.683222976748903,0.123605053,29.70782316975341,0.058768138,2.63
12,2003Q1,0.4377169535190406,1.0965434349651249,0.902511026,-1.601855924,0.8676244630620333,1.2812089356110556,0.091374822,7.466667,17.48153440189899,4.484901561210597,31.714070095656275,5.336107208472929,6.532865176897662,-0.20672262,11.961799157145837,0.5266419858050542,26.70765763722525,0.066143203,3.14
13,2003Q2,0.8387433180517156,0.3558064803301342,0.9969539151149842,-2.003025346,0.1921353486789678,-0.518975024,0.2221419934264945,7.666667,-3.908625459,5.784977433913574,-12.10762666,-0.777182138,11.168214510159904,4.263164436342559,7.825380696130058,0.885621673,25.90271785,0.056849214,3.07
14,2003Q3,0.8685485816373628,0.258111039,3.141950551288275,1.2236103058748782,0.1553666987017976,0.5216824258232888,0.2951471827750129,7.8,-0.349090018,5.291867924240834,-4.865009016,4.921931547926772,12.36401095449866,-2.392116347,-12.23159089,1.663199956971062,30.93163776674597,0.043647869,2.58
15,2003Q4,0.1124730212739733,0.7863250790606235,2.274739590676589,3.199439642042168,4.723798717775418,0.4216672072656635,0.2960578824763304,7.433333,2.788163110614894,1.989812161731908,3.542236757213724,8.687296738,-1.029694557,1.8014167073766574,-11.64885935,1.160721398176312,42.74259576341935,0.061683919,2.57
16,2004Q1,1.2677433813033767,0.6459578782223474,2.3388410839782603,-0.09809796,0.8904632821443936,0.4844961240310086,0.1247221582485469,7.3,11.291592342723876,10.23596350582463,12.160838139111174,9.509452781,13.208996531974758,6.858216863615474,14.424850333993788,0.5666514539569345,31.13393789492091,0.046996805,1.98
17,2004Q2,0.4387393920709304,-0.179797411,1.5781930255614365,4.704479428739261,2.6960532414932903,0.7714561234329675,0.2170871139580255,7.166667,8.020236389684833,7.039425416071343,8.819754410835024,-2.647539796,13.275325297357687,10.442901783208258,-3.215829706,0.7749523237421174,27.44028497928177,0.052262286,2.01
18,2004Q3,0.9524761822819804,0.8219618278221041,1.4539494273847486,-0.328998506,2.8724023487362693,0.2551834130781527,0.2955059654503378,7,1.6031565771695178,0.7491582491582438,2.321626617375228,4.177120986604277,0.5144467935165542,-3.485023041,8.419340255,0.9485938887930924,30.55272431800247,0.038839833,2.45
19,2004Q4,0.833961021,0.5412704758762876,1.7099580679905024,-0.968044364,1.1284741179577118,0.7636016544702473,0.3112201404391834,7.133333,4.534514689445279,-4.136877409,12.443439692518377,7.638612497321118,-13.6130197,-1.997647761,4.034413691346006,1.0202081286209586,30.17393376,0.037707344,2.47
20,2005Q1,1.4229469324631427,-0.535575744,2.714199426830999,0.9920583970596032,3.3450928887082787,0.3789074834227968,0.1148753424309978,6.933333,5.055842159074087,5.412303746404867,3.5730242179801808,4.3811745074615605,11.164541295107067,-1.810886815,8.254026981288497,1.1093633541958248,23.53633129706395,0.039670255,2.56
21,2005Q2,0.8745840207665889,0.3536611618538021,2.411260556771966,-0.364278038,-0.735355577,0.4403900597672372,0.2043896415187429,6.8333330000000005,4.0911691071043865,-1.172871587,7.681307577306473,-0.360597666,-4.528363875,3.2270422124119458,-1.282911392,0.4926244548107306,34.49307368363176,0.034486611,2.48
22,2005Q3,0.6885995907253362,0.5655352247654344,2.702431944407113,1.4398121762208893,1.7573740625137502,0.9708737864077444,0.3178630720569897,6.7,15.028476811739022,-2.551660671,28.484919990341798,0.6554358329231125,-5.879710173,-1.456164844,-3.533944978,0.7838140345072908,26.57304630647297,0.036241464,2.86
23,2005Q4,0.9636334001922542,1.114182978652667,2.132417842553669,2.336947042170378,2.323009681714572,0.496277916,0.342957911,6.533333,5.940274615,2.846595368916782,7.848019629658887,6.9083565030747085,0.7231142662725842,-0.017933038,11.084267683984606,0.5555165396517348,31.50242315841783,0.063193442,3.37
