quarter,GDPC1,US_GDP_growth
1947Q1,2182.681,
1947Q2,2176.892,-0.2652242815143535
1947Q3,2172.432,-0.20487924986632988
1947Q4,2206.452,1.5659868755385942
1948Q1,2239.682,1.5060377474787279
1948Q2,2276.69,1.6523774357252607
1948Q3,2289.77,0.5745182699445239
1948Q4,2292.364,0.1132864872891215
1949Q1,2260.807,-1.3766138361970492
1949Q2,2253.128,-0.33965747629053356
1949Q3,2276.424,1.0339403708977013
1949Q4,2257.352,-0.8378052594771535
1950Q1,2346.104,3.9316863298236138
1950Q2,2417.682,3.050930393537543
1950Q3,2511.127,3.865065794426248
1950Q4,2559.214,1.9149569097859143
1951Q1,2593.967,1.3579559974273403
1951Q2,2638.898,1.7321346031001994
1951Q3,2693.259,2.0599886770917175
1951Q4,2699.156,0.21895406271732476
1952Q1,2727.954,1.0669261057901114
1952Q2,2733.8,0.21429980124298975
1952Q3,2753.517,0.7212305216182546
1952Q4,2843.941,3.283945586680592
1953Q1,2896.811,1.8590399730515017
1953Q2,2919.206,0.7730915133917993
1953Q3,2902.785,-0.5625159718087858
1953Q4,2858.845,-1.5137187218481563
1954Q1,2845.192,-0.4775704873821396
1954Q2,2848.305,0.1094126512375837
1954Q3,2880.482,1.1296894117729606
1954Q4,2936.852,1.9569641469726173
1955Q1,3020.746,2.8565961103930393
1955Q2,3069.91,1.627544983921192
1955Q3,3111.379,1.3508213595838425
1955Q4,3130.068,0.600666135498118
1956Q1,3117.922,-0.38804268789048857
1956Q2,3143.694,0.8265761619437484
1956Q3,3140.874,-0.08970338716173254
1956Q4,3192.57,1.645911297301339
1957Q1,3213.011,0.6402678719652055
1957Q2,3205.97,-0.21914023948252925
1957Q3,3237.386,0.9799218333296889
1957Q4,3203.894,-1.0345383590341206
1958Q1,3120.724,-2.595903609794814
1958Q2,3141.224,0.6568988478314663
1958Q3,3213.884,2.3131110675329136
1958Q4,3289.032,2.3382300045676763
1959Q1,3352.129,1.9184063882625502
1959Q2,3427.667,2.2534335641617664
1959Q3,3430.057,0.06972672666276658
1959Q4,3439.832,0.28498068690987477
1960Q1,3517.181,2.2486272585405365
1960Q2,3498.246,-0.5383572810156778
1960Q3,3515.385,0.4899312398270572
1960Q4,3470.278,-1.283131150642114
1961Q1,3493.703,0.6750179668602918
1961Q2,3553.021,1.6978546831256214
1961Q3,3621.252,1.9203657957552078
1961Q4,3692.289,1.961669610399941
1962Q1,3758.147,1.7836631964615934
1962Q2,3792.149,0.9047543909272315
1962Q3,3838.776,1.2295666652338832
1962Q4,3851.421,0.32940187184664627
1963Q1,3893.482,1.0920904258454156
1963Q2,3937.183,1.122414332466426
1963Q3,4023.755,2.1988309915998316
1963Q4,4050.147,0.6559047456915268
1964Q1,4135.553,2.108713584963695
1964Q2,4180.592,1.0890683785215627
1964Q3,4245.918,1.5626016602433346
1964Q4,4259.046,0.30919108659188677
1965Q1,4362.111,2.4199081202691763
1965Q2,4417.225,1.263470828688229
1965Q3,4515.427,2.2231604683935924
1965Q4,4619.458,2.303901712949852
1966Q1,4731.888,2.433835311415322
1966Q2,4748.046,0.3414704659112866
1966Q3,4788.254,0.8468325707038149
1966Q4,4827.537,0.8204034288907813
1967Q1,4870.299,0.8857933144789998
1967Q2,4873.287,0.06135146938617275
1967Q3,4919.392,0.9460760263042101
1967Q4,4956.477,0.7538533217112953
1968Q1,5057.553,2.0392710386833324
1968Q2,5142.033,1.6703730044944853
1968Q3,5181.859,0.7745185610438465
1968Q4,5202.212,0.39277409902507276
1969Q1,5283.597,1.5644306691076748
1969Q2,5299.625,0.3033539461847701
1969Q3,5334.6,0.6599523551194642
1969Q4,5308.556,-0.48820905035055207
1970Q1,5300.652,-0.1488917136788115
1970Q2,5308.164,0.14171841501762206
1970Q3,5357.077,0.9214673849564647
1970Q4,5299.672,-1.0715731732062195
1971Q1,5443.619,2.716149225838893
1971Q2,5473.059,0.5408166883097643
1971Q3,5518.072,0.8224468254407702
1971Q4,5531.032,0.234864641128274
1972Q1,5632.649,1.8372159119672382
1972Q2,5760.47,2.2692875057543915
1972Q3,5814.854,0.9440896315751957
1972Q4,5912.22,1.6744358499800605
1973Q1,6058.544,2.4749417308557398
1973Q2,6124.506,1.0887434340660196
1973Q3,6092.301,-0.5258383288382795
1973Q4,6150.131,0.9492308406954919
1974Q1,6097.258,-0.8597052648146919
1974Q2,6111.751,0.23769701068907523
1974Q3,6053.978,-0.9452773845007756
1974Q4,6030.464,-0.38840577220465855
1975Q1,5957.035,-1.2176343312886084
1975Q2,5999.61,0.7147011894339972
1975Q3,6102.326,1.712044616233399
1975Q4,6184.53,1.3470928953975836
1976Q1,6323.649,2.249467623247048
1976Q2,6370.025,0.7333740376798126
1976Q3,6404.895,0.5474075847426096
1976Q4,6451.177,0.7226035711748402
1977Q1,6527.703,1.1862331478426524
1977Q2,6654.466,1.9419235219494402
1977Q3,6774.457,1.8031649722156429
1977Q4,6774.592,0.001992779642701059
1978Q1,6796.26,0.319842139570925
1978Q2,7058.92,3.864772683799611
1978Q3,7129.915,1.0057487547670219
1978Q4,7225.75,1.3441254208500286
1979Q1,7238.727,0.17959381379095696
1979Q2,7246.454,0.10674528822540719
1979Q3,7300.281,0.7428046876444716
1979Q4,7318.535,0.2500451694941619
1980Q1,7341.557,0.31457115392630186
1980Q2,7190.289,-2.0604348641575676
1980Q3,7181.743,-0.11885474978821087
1980Q4,7315.677,1.8649233201466497
1981Q1,7459.022,1.9594222106853687
1981Q2,7403.745,-0.7410757067079277
1981Q3,7492.405,1.197502074963408
1981Q4,7410.768,-1.0895967316235544
1982Q1,7295.631,-1.5536446424985861
1982Q2,7328.912,0.45617712847594305
1982Q3,7300.896,-0.3822668357868153
1982Q4,7303.817,0.04000878796246443
1983Q1,7400.066,1.3177904101375981
1983Q2,7568.456,2.2755202453599743
1983Q3,7719.746,1.9989546084432597
1983Q4,7880.794,2.0861826282885465
1984Q1,8034.847,1.9547903421914148
1984Q2,8173.67,1.72776158649941
1984Q3,8252.465,0.9640100468944812
1984Q4,8320.199,0.8207729448110435
1985Q1,8400.82,0.9689792275400899
1985Q2,8474.787,0.8804735728179081
1985Q3,8604.22,1.5272714228687922
1985Q4,8668.188,0.7434491447220193
1986Q1,8749.127,0.9337476298391323
1986Q2,8788.524,0.4502963552820649
1986Q3,8872.601,0.9566680366350555
1986Q4,8920.193,0.5363928796076722
1987Q1,8986.367,0.7418449354178902
1987Q2,9083.256,1.0781776439800383
1987Q3,9162.024,0.8671780251486849
1987Q4,9319.332,1.7169568645530875
1988Q1,9367.502,0.5168825405082789
1988Q2,9490.594,1.3140322788294911
1988Q3,9546.206,0.5859696453140995
1988Q4,9673.405,1.332456056364184
1989Q1,9771.725,1.016394950898869
1989Q2,9846.293,0.7630996574299775
1989Q3,9919.228,0.7407356250722863
1989Q4,9938.767,0.19698105538052957
1990Q1,10047.386,1.0928820446238552
1990Q2,10083.855,0.36297003021481533
1990Q3,10090.569,0.06658167932800385
1990Q4,9998.704,-0.9104045569679919
1991Q1,9951.916,-0.4679406451076118
1991Q2,10029.51,0.7796890568610104
1991Q3,10080.195,0.5053586865160886
1991Q4,10115.329,0.34854484461859236
1992Q1,10236.435,1.1972522099874316
1992Q2,10347.429,1.0843032755055937
1992Q3,10449.673,0.9881101865980568
1992Q4,10558.648,1.0428555994048683
1993Q1,10576.275,0.16694372234020705
1993Q2,10637.847,0.5821709439287392
1993Q3,10688.606,0.477154822775705
1993Q4,10833.987,1.360149302911906
1994Q1,10939.116,0.9703629882517051
1994Q2,11087.361,1.355182630845131
1994Q3,11152.176,0.5845845553328566
1994Q4,11279.932,1.1455701559946796
1995Q1,11319.951,0.3547805075420518
1995Q2,11353.721,0.298322846097121
1995Q3,11450.31,0.8507255022384363
1995Q4,11528.067,0.6790820510536255
