quarter,gdp_block_growth,unemployment,CPI,population_quarterly
1992Q3,0.5350022491699136,0.0473458315798152,0.003569307775121544,0.00358627761521646
1992Q4,1.0199030910710505,0.01719240546680645,0.003951012646679963,0.0036208044347603163
1993Q1,-0.3663502159595211,-0.05249019793168941,0.006681101684367086,0.0020848039536396357
1993Q2,0.6978497191031607,0.04393094209397663,0.003128668958041203,0.002354516836604148
1993Q3,0.2049429055917428,-0.017341480048727043,0.0035080916897403114,0.0029291835637828
1993Q4,0.4175936754730713,-0.011730048240257585,0.0046583935173218904,0.0035445503944373513
1994Q1,0.486108199094204,-0.02388203411823664,-0.006216026231005145,0.0017060386099565505
1994Q2,1.6822550265256808,-0.03692728395704181,-0.003122563036794368,0.002482578450344164
1994Q3,0.9339216438306152,-0.04816341684637271,0.005846830142956172,0.003219413615873634
1994Q4,0.4382434469855312,-0.03685483170111992,0.0038789808140968773,0.003294801071429987
1995Q1,0.2070324677466928,-0.01374588724732373,0.009632129950702506,0.0015635768764674651
1995Q2,-0.4949451588199594,-0.0139374732417048,0.0076394565579578355,0.0023868011716139392
1995Q3,0.2522030289700439,-0.007042317961102995,0.0019007798918080354,0.0031025157191741926
1995Q4,0.4446531111289786,-0.014235080486181939,0.0011387361260890572,0.003201544986445981
1996Q1,0.5987604224598542,0.021277398447284934,0.003786449052502583,0.0017192495232656313
1996Q2,1.063820544379368,-0.007042317961102995,0.007154991925044207,0.0022848983146346313
1996Q3,0.0244705865720007,0.02443409515573025,0.00187441479434991,0.003247425006836835
1996Q4,0.3461823869891134,0.017094364978236243,0.007462721201589417,0.0033037994781857094
1997Q1,1.4904419551262649,-0.041528460133966494,0.004821073680562726,0.0014574569687830774
1997Q2,0.4164495614789487,-0.014235080486181939,0.0014787433378540271,0.0022318795366622624
1997Q3,0.9846127024262684,-0.0477154354456828,0.003319199064286238,0.002944749931021562
1997Q4,0.6149749880851374,-0.01134239024354855,0.0003681207477601589,0.0029663095350613844
1998Q1,1.4782431556870534,-0.019194371210517147,0.005871576501720099,0.001123430594216046
1998Q2,0.4139380817033355,-0.031498707059371966,0.0,0.0017193525983856262
1998Q3,1.4832063319325073,-0.016129341929882912,0.0010970928143736458,0.002490000805572379
1998Q4,0.4214622405486423,-0.02053451945415885,0.004376374599798005,0.0025325410743519683
1999Q1,1.7965552539022769,-0.01673687534307211,0.0029069787913096334,0.0009415498569360636
1999Q2,0.6890707934863016,0.0,0.0075908551732508656,0.0018020365913393732
1999Q3,1.6429694179558751,-0.051959738930711374,0.0064608982824001515,0.0028522987145329637
1999Q4,0.4858943772894974,-0.0737661023927203,0.00641942290065689,0.0029829202926201503
2000Q1,1.4764150161756362,-0.014458082478430612,0.006378476622042939,0.0011067558956696644
2000Q2,1.168141068214723,-0.029558800785233652,0.004581505811231956,0.0022303055477088662
2000Q3,0.927830082321357,0.034401376717333676,0.009100517830535004,0.0029928337985261066
2000Q4,0.6436566906490526,0.0,0.010743475367736899,0.003196341782608414
2001Q1,1.3418552178681151,0.014388737452099454,0.0024100545320067113,0.0013138467888360594
2001Q2,0.492002861693841,0.014184634991956546,0.012982758369164848,0.0028040639515864996
2001Q3,0.3297929815081701,0.009345908929864422,0.00033938571511971105,0.003547742024636591
2001Q4,0.7367402512610255,0.06308388524682695,-0.005102919731153399,0.003476060547360049
2002Q1,1.27181322483505,0.03854867176855059,0.007136818737381034,0.0012848937016158857
2002Q2,-0.1643919465108112,-0.029852921132873522,0.010778144082779662,0.0026845220195497177
2002Q3,0.907108487227326,-0.021882755497296458,0.010994613501091877,0.0034024565644266147
2002Q4,0.3727581406357316,0.004415106509767952,0.008578079653782211,0.0029128560827125227
2003Q1,0.0607547486827897,-0.013303965036369103,0.012730708904574506,0.0009133310022058083
2003Q2,0.0560954531664492,0.02643325590355916,-0.00520326377189928,0.00221895622894408
2003Q3,1.3161334906628852,0.017241762956246465,0.00520326377189928,0.002947124786121691
2003Q4,0.5285532125759218,-0.048149388740633015,0.004207806823466775,0.002956204941966689
2004Q1,0.9554376398430264,-0.01809999680056773,0.004833262188019383,0.0012464444477515713
2004Q2,1.0970319211375923,-0.018433655177211294,0.007684956169383916,0.002168518203493619
2004Q3,0.1715303127079792,-0.023530543921820968,0.002548583730546561,0.002950702048270415
2004Q4,0.3087832745025665,0.01886843757540979,0.0076070097410720905,0.0031073685302551723
2005Q1,0.4166410888350569,-0.028437936668484598,0.003781914372162909,0.0011480941119721422
2005Q2,1.0507220101560577,-0.014528101266474636,0.00439423180398002,0.0020418105006889675
2005Q3,0.9817883072392064,-0.0197050222988433,0.009661910911735738,0.0031735895537892134
2005Q4,1.2828061997518958,-0.025190299848968145,0.004950505159857066,0.003423711511718608
2006Q1,0.5047844597894979,0.010152422484427381,0.006153865574377804,0.0012849158084442536
