,quarter,gdp_block_growth,unemployment,CPI,population_quarterly
0,1992Q1,0.14628429286815958,10.6,83.3,56362954
1,1992Q2,-0.36525538109248856,11.0,83.89999999999999,56539398
2,1992Q3,0.5350022491699136,11.53333,84.2,56742528
3,1992Q4,1.0199030910710505,11.73333,84.53333333333335,56948354
4,1993Q1,-0.3663502159595211,11.13333,85.10000000000001,57067204
5,1993Q2,0.6978497191031607,11.63333,85.36666666666667,57201728
6,1993Q3,0.20494290559174289,11.43333,85.66666666666667,57369528
7,1993Q4,0.41759367547307136,11.3,86.06666666666666,57573238
8,1994Q1,0.486108199094204,11.03333,85.53333333333335,57671544
9,1994Q2,1.6822550265256808,10.63333,85.26666666666667,57814896
10,1994Q3,0.9339216438306153,10.13333,85.76666666666667,58001326
11,1994Q4,0.4382434469855312,9.766666,86.10000000000001,58192744
12,1995Q1,0.20703246774669282,9.633333,86.93333333333334,58283804
13,1995Q2,-0.4949451588199594,9.5,87.60000000000001,58423082
14,1995Q3,0.2522030289700439,9.433333,87.76666666666667,58604622
15,1995Q4,0.44465311112897865,9.3,87.86666666666667,58792548
16,1996Q1,0.5987604224598542,9.5,88.2,58893714
17,1996Q2,1.063820544379368,9.433333,88.83333333333333,59028434
18,1996Q3,0.02447058657200074,9.666667,89.0,59220436
19,1996Q4,0.3461823869891134,9.833333,89.66666666666667,59416412
20,1997Q1,1.4904419551262649,9.433333,90.10000000000001,59503072
21,1997Q2,0.41644956147894874,9.3,90.23333333333333,59636024
22,1997Q3,0.9846127024262685,8.866666999999998,90.53333333333335,59811896
23,1997Q4,0.6149749880851374,8.766666,90.56666666666666,59989580
24,1998Q1,1.4782431556870534,8.599999999999998,91.09999999999998,60057012
25,1998Q2,0.41393808170333557,8.333332999999998,91.10000000000001,60160360
26,1998Q3,1.4832063319325073,8.199999999999998,91.2,60310346
27,1998Q4,0.42146224054864234,8.033334,91.59999999999998,60463278
28,1999Q1,1.7965552539022767,7.9,91.86666666666667,60520234
29,1999Q2,0.6890707934863016,7.9,92.56666666666666,60629392
30,1999Q3,1.6429694179558751,7.5,93.16666666666667,60802572
31,1999Q4,0.48589437728949747,6.966667,93.76666666666667,60984212
32,2000Q1,1.4764150161756362,6.866667,94.36666666666667,61051744
33,2000Q2,1.168141068214723,6.666667,94.8,61188060
34,2000Q3,0.927830082321357,6.9,95.66666666666667,61371460
35,2000Q4,0.6436566906490526,6.9,96.7,61567938
36,2001Q1,1.3418552178681153,7.0,96.93333333333334,61648882
37,2001Q2,0.492002861693841,7.1,98.2,61821992
38,2001Q3,0.32979298150817016,7.166667,98.23333333333333,62041710
39,2001Q4,0.7367402512610255,7.633333,97.73333333333333,62257746
