quarter,CPI_level_forecast,GDP_level_forecast
2025Q2,163.654262,2463369.252542
2025Q3,164.5612,2482003.048323
2025Q4,165.572402,2504737.35099
2026Q1,166.59758,2523931.380422
2026Q2,167.725924,2539050.142883
2026Q3,168.973522,2553913.436789
2026Q4,170.332491,2567298.229201
2027Q1,171.788431,2578825.331213
