quarter,cpi_qoq,unemp_qoq,pop_qoq,usgdp_qoq,tpuq_qoq,cons_qoq,gfcf_qoq,gov_cons_qoq,exports_qoq,imports_qoq
1992Q2,0.7202881152460927,3.7735849056603765,0.3130495963713953,1.0843032755055937,-11.053093027542559,0.12236473582233999,-4.22370606301552,-0.56473504121647,2.7895495877363103,1.05998020605504
1992Q3,0.35756853396902155,4.84845454545455,0.35927160030957417,0.9881101865980568,33.37580191307477,0.36853293043925,1.99904636282042,-0.02114361326608,1.51601149949751,1.64662395433374
1992Q4,0.39588281868567776,1.7341045474290606,0.36273674658979793,1.0428555994048683,7.163989272532434,0.7315815835998,-4.22735182678284,1.5943076056936698,2.69916640372436,-2.1014517737214002
1993Q1,0.6703470031545589,-5.113637816374372,0.20869786684265534,0.16694372234020705,-5.46515772560785,0.08990103219534,-1.1142073440090798,-0.9612990948491801,3.5579265895774896,4.43864036276639
1993Q2,0.3133568350959681,4.4910193086884265,0.23572908881255294,0.5821709439287392,-11.349353891374559,0.38164709015511,2.348937720045,0.42602531947402,2.8243015153396502,3.09515038689447
1993Q3,0.35142522452167313,-1.7191982003433304,0.29334778138170314,0.477154822775705,10.924281411231496,0.12250464217533001,2.14477959604089,-1.16257391647032,0.7650233484881099,0.57606348286913
1993Q4,0.46692607003890885,-1.166151943484528,0.35508397419619087,1.360149302911906,46.25928033947808,0.15423448997324002,1.37093452248393,-0.08149698206363,2.87123555393389,2.58154411304865
1994Q1,-0.6196746707978096,-2.3599115044247942,0.1707494721766345,0.9703629882517051,-36.28819266773699,0.72848557192113,1.28700446296967,-1.46734312275782,0.65175047917058,-0.04993281203446
1994Q2,-0.3117692907248837,-3.625378738785101,0.24856625999123416,1.355182630845131,-3.603199271944979,0.47287720920898,3.09143365390163,1.25784157608617,6.865075797279189,4.50270535523973
1994Q3,0.5863956215793609,-4.70219583140935,0.32246014937049594,0.5845845553328566,-18.61267095340786,0.33806976073566997,0.062140228979320006,0.0948441813465,3.8664308401601803,0.91770053312725
1994Q4,0.3886513797124014,-3.6183959271039234,0.33002348946298277,1.1455701559946796,30.29136053161836,0.68301474502501,0.70184825754058,-0.51904484904543,3.88582858540722,4.63446429417757
1995Q1,0.9678668215253428,-1.3651843935279517,0.15647999001386914,0.3547805075420518,-22.745942336643708,-0.059580580208509995,-2.51593295225216,-0.11538667933965,2.7261551915989504,0.01959283439862
