,quarter,qoq_pct
0,1955Q1,
1,1955Q2,-7.638895833333326
2,1955Q3,-8.270662275989649
3,1955Q4,-5.737720841170413
4,1956Q1,-3.478252476369781
5,1956Q2,-9.009
6,1956Q3,-9.901008920692178
7,1956Q4,2.1978134283311412
8,1957Q1,26.881709677419362
9,1957Q2,5.084746193622558
10,1957Q3,19.354840270551634
11,1957Q4,21.621629839299317
12,1958Q1,11.111116666666664
13,1958Q2,8.999999550000016
14,1958Q3,1.376146725864813
15,1958Q4,-1.8099637190061468
16,1959Q1,-13.824885429718226
17,1959Q2,-5.3475885212614145
18,1959Q3,-5.084745762711873
19,1959Q4,2.9761964285714315
20,1960Q1,9.826577466671838
21,1960Q2,8.947374155124944
22,1960Q3,7.246376811594213
23,1960Q4,2.252256756756754
24,1961Q1,0.8810484193370716
25,1961Q2,-1.310043725329424
26,1961Q3,-7.522115377084749
27,1961Q4,-11.004788947139287
28,1962Q1,-2.150532258064519
29,1962Q2,-5.494516181619991
30,1962Q3,1.1627965792323502
31,1962Q4,1.1494310344827507
32,1963Q1,0.0
33,1963Q2,-3.9772838649270392
34,1963Q3,-5.3254441020972765
35,1963Q4,-4.374994023437139
36,1964Q1,-4.5751568627451
37,1964Q2,-2.0547943798086
38,1964Q3,-4.195803902391337
39,1964Q4,-2.9197224146187972
40,1965Q1,-6.766917802023887
41,1965Q2,0.806467806973199
42,1965Q3,-9.599999232000068
43,1965Q4,-9.73452126243175
44,1966Q1,-0.980382352941167
45,1966Q2,-7.920801195960281
46,1966Q3,10.75267741935484
47,1966Q4,-0.9708641719285649
48,1967Q1,8.823529411764719
49,1967Q2,0.9008918918918862
50,1967Q3,-1.7856965880086229
51,1967Q4,13.636362396694345
52,1968Q1,6.399983488001326
53,1968Q2,2.2556392673412917
54,1968Q3,0.0
55,1968Q4,-1.4705736375421719
56,1969Q1,-4.477611606148391
57,1969Q2,2.343749816894536
58,1969Q3,0.7633510867671056
59,1969Q4,4.545454545454519
60,1970Q1,5.797108695652176
61,1970Q2,18.493149418277444
62,1970Q3,6.936415784022221
63,1970Q4,-1.0810864280493937
64,1971Q1,2.1857868852459106
65,1971Q2,0.534770082073277
66,1971Q3,-2.6595796457670406
67,1971Q4,0.5464426229508268
68,1972Q1,-2.7173805824663444
69,1972Q2,1.6759775600012405
70,1972Q3,4.945054673348648
71,1972Q4,1.5706805460376838
72,1973Q1,-9.278350037198457
73,1973Q2,-7.954550684400519
74,1973Q3,0.0
75,1973Q4,2.4691296296296183
76,1974Q1,-5.421687073595605
77,1974Q2,-0.6369363463016753
78,1974Q3,1.282057692307692
79,1974Q4,7.594936228168603
80,1975Q1,18.235287162630165
81,1975Q2,1.990044776119415
82,1975Q3,1.9512293634746047
83,1975Q4,2.3923348137638856
84,1976Q1,-2.80373844877283
85,1976Q2,-0.9615288923812026
86,1976Q3,4.368931826750888
87,1976Q4,3.7209207571664793
88,1977Q1,4.484314102435616
89,1977Q2,0.8583604781819298
90,1977Q3,4.680855518334259
91,1977Q4,3.252024390243924
92,1978Q1,-1.1810906441803937
93,1978Q2,1.195207123696962
94,1978Q3,-1.1810906441803937
95,1978Q4,-1.195231028078414
96,1979Q1,-2.8225647437552293
97,1979Q2,-4.564319123293014
98,1979Q3,-7.391308374290951
99,1979Q4,1.4084507042253502
100,1980Q1,5.092597222222217
101,1980Q2,2.202634264201131
102,1980Q3,-3.0172371990188407
103,1980Q4,-3.111106666666663
104,1981Q1,1.834857713997362
105,1981Q2,-3.1531486486486515
106,1981Q3,4.1860463169280715
107,1981Q4,12.946419064891979
108,1982Q1,5.9288539892827785
109,1982Q2,16.417914791713283
110,1982Q3,16.346153846153832
111,1982Q4,7.162561983471072
112,1983Q1,-2.5707448404254873
113,1983Q2,-1.8469398013033822
114,1983Q3,-5.913951612903235
115,1983Q4,-3.142884816318614
116,1984Q1,0.0
117,1984Q2,1.7699115044247815
118,1984Q3,-0.5797391304347865
119,1984Q4,-1.4576680634600825
120,1985Q1,-4.1420401946626555
121,1985Q2,-0.9259259259259411
122,1985Q3,-3.738317757009335
123,1985Q4,-0.6472815533980603
124,1986Q1,-3.9087667455266373
125,1986Q2,-2.3728780465382404
126,1986Q3,-0.34721874999998903
