M.BCPI,M.BCNE,M.ENER,M.MTLS,M.FOPR,M.AGRI,M.FISH,quarter,M.BCPI_growth,M.BCNE_growth,M.ENER_growth,M.MTLS_growth,M.FOPR_growth,M.AGRI_growth,M.FISH_growth
100.50333333333332,100.62666666666668,99.94333333333331,100.70666666666666,100.12,101.24333333333334,95.95333333333332,1972Q1,,,,,,,
101.71333333333332,102.09333333333332,100.0,101.11,102.07,103.08666666666666,93.36666666666667,1972Q2,1.2039401678219708,1.457532794487859,0.056698795984400086,0.4005031113464952,1.9476628046344313,1.8206960129061756,-2.695754880844836
104.77,105.63333333333333,100.91333333333334,101.54333333333334,105.14666666666666,109.18333333333334,101.46333333333332,1972Q3,3.0051779511044208,3.4674154368551813,0.9133333333333438,0.4285761381993325,3.0142712517553294,5.914117570975885,8.671902891824335
108.2,109.73333333333332,101.46,102.44333333333331,106.98666666666666,117.88,116.53666666666668,1972Q4,3.27383793070537,3.881350583780363,0.541718966770155,0.8863211108557589,1.7499365965001346,7.965196153259035,14.8559413909787
118.01333333333334,121.17,104.52333333333333,113.04666666666668,115.16333333333334,134.49333333333334,116.19333333333331,1973Q1,9.069624152803456,10.422235722964768,3.0192522504763675,10.350437640321509,7.642696909272195,14.093428345209835,-0.2946139984554508
129.52333333333334,134.30999999999997,109.45666666666666,129.04666666666665,127.20666666666666,147.98333333333335,107.49333333333334,1973Q2,9.753135238956045,10.844268383263156,4.719839270338366,14.153446954060245,10.457610929404604,10.030236938633896,-7.487520798668868
146.1833333333333,153.53333333333333,116.35666666666668,144.00333333333333,126.60666666666668,192.47,124.97666666666667,1973Q3,12.862547288776781,14.312659767205238,6.303864543045967,11.590122436327954,-0.4716733923798344,30.06194391260275,16.264574547258736
149.99666666666667,156.01666666666665,124.95666666666666,157.41666666666666,128.02333333333334,187.58666666666667,140.74333333333334,1973Q4,2.608596511230199,1.617455492835429,7.391067694158737,9.31459919909261,1.1189510820915016,-2.5371919433331613,12.615688261808877
168.6,167.88333333333333,167.46,175.92,132.80666666666667,204.3166666666667,130.92,1974Q1,12.402497833285175,7.6060249973293415,34.0144583455598,11.754367390153519,3.7362980706642013,8.918544317293353,-6.979608270373983
171.78666666666666,169.95333333333335,174.53666666666666,207.25333333333333,144.16666666666666,175.9333333333333,127.47333333333334,1974Q2,1.8900751285092943,1.2329991065223922,4.225884788407175,17.811126269516464,8.553787460468843,-13.891834570519645,-2.6326509827884537
178.99666666666667,173.5533333333333,195.41666666666663,183.28,145.8733333333333,198.83333333333331,132.38666666666666,1974Q3,4.197066128531524,2.1182285333228634,11.963102308970397,-11.567164179104472,1.1838150289017246,13.016294050776821,3.8544009204539265
179.1233333333333,171.69333333333336,203.71,166.40666666666667,145.49666666666667,206.55,125.32333333333334,1974Q4,0.07076481871168827,-1.0717166673068546,4.2439232409381855,-9.206314564236873,-0.2582148896302483,3.880972338642086,-5.335381206566614
174.86333333333334,161.19,223.94333333333336,162.41,153.07000000000002,172.96,126.61666666666667,1975Q1,-2.378249623164652,-6.117496311252635,9.93242027064618,-2.4017467248908297,5.205159339274679,-16.26240619704672,1.0319972338218575
176.18999999999997,158.83333333333334,239.96,161.33333333333334,158.96333333333334,163.23333333333335,113.18,1975Q2,0.7586877370898915,-1.4620427239075973,7.152106931813096,-0.6629312644952035,3.850090372596404,-5.6236509404872015,-10.612083717256816
186.8733333333333,167.75666666666666,257.44,162.90333333333334,160.61,182.47666666666663,137.20666666666668,1975Q3,6.063529901432174,5.618048268625375,7.284547424570764,0.9731404958677636,1.0358782947849754,11.788850316520282,21.22872121105024
186.86,162.73666666666665,279.90000000000003,156.04666666666665,159.36333333333334,175.14,144.70333333333335,1975Q4,-0.007134957725352109,-2.9924295109980736,8.724362958359233,-4.209040126046126,-0.7762073760454902,-4.020605374203079,5.463777270297854
184.2733333333333,159.20333333333335,282.58666666666664,158.97666666666666,154.5533333333333,168.33,159.26,1976Q1,-1.3842805665560842,-2.171196821040111,0.9598666190305805,1.8776434399965902,-3.018260160220898,-3.8883179170948856,10.059662297574334
185.6,160.83,282.34,170.29999999999998,152.88666666666666,167.01333333333332,165.11333333333334,1976Q2,0.7199450092254311,1.0217541508762418,-0.08728885533642039,7.12263854234374,-1.078376396497427,-0.7821937068060891,3.675331742643073
185.9633333333333,159.9,288.63666666666666,171.26,160.57000000000002,156.09333333333333,185.8733333333333,1976Q3,0.19576149425286626,-0.5782503264316396,2.2301716606455635,0.5637110980622584,5.025509091701941,-6.538400127734301,12.573182056769072
181.04,151.08333333333334,303.56,165.95333333333335,158.90333333333334,138.34666666666666,201.8066666666667,1976Q4,-2.6474753087526115,-5.5138628309360005,5.170283285791832,-3.0986025146949925,-1.0379689024516914,-11.369266250960964,8.572145905814033
185.4766666666667,155.51666666666668,307.16333333333336,175.59,162.51,140.76333333333332,209.64666666666668,1977Q1,2.4506554720872264,2.934362934362933,1.187025080159887,5.806853332262074,2.2697237314090346,1.7468195836545908,3.8849063460077105
185.85333333333332,155.62,308.71666666666664,176.22666666666666,161.29333333333332,142.21666666666667,199.3933333333333,1977Q2,0.20308035152667436,0.0664451827242507,0.5057027205938036,0.3625870873436243,-0.7486718766024691,1.0324658410097332,-4.890768594778539
185.14666666666668,154.82333333333335,308.43,169.61666666666667,176.07000000000002,129.92,199.74,1977Q3,-0.3802281368821214,-0.5119307715374943,-0.09285752847809636,-3.750851176515091,9.161362321236698,-8.646431501230524,0.1738607108228596
