quarter,CPI_level_forecast,GDP_level_forecast
2025Q2,163.947394,2463011.018836
2025Q3,165.201998,2482444.331655
2025Q4,166.685486,2515002.30394
2026Q1,168.256442,2540280.761767
2026Q2,170.264793,2562474.458454
2026Q3,172.693155,2591040.458016
2026Q4,175.464993,2624778.649399
2027Q1,178.529183,2653192.977564
