quarter,CPI,CPI_growth
1992Q1,83.3,
1992Q2,83.89999999999999,0.7202881152460927
1992Q3,84.2,0.35756853396902155
1992Q4,84.53333333333335,0.39588281868567776
1993Q1,85.10000000000001,0.6703470031545589
1993Q2,85.36666666666667,0.3133568350959681
1993Q3,85.66666666666667,0.35142522452167313
1993Q4,86.06666666666666,0.46692607003890885
1994Q1,85.53333333333335,-0.6196746707978096
1994Q2,85.26666666666667,-0.3117692907248837
1994Q3,85.76666666666667,0.5863956215793609
1994Q4,86.10000000000001,0.3886513797124014
1995Q1,86.93333333333334,0.9678668215253428
1995Q2,87.60000000000001,0.7668711656441785
1995Q3,87.76666666666667,0.19025875190257224
1995Q4,87.86666666666667,0.11393847322447304
1996Q1,88.2,0.3793626707131903
1996Q2,88.83333333333333,0.7180650037792891
1996Q3,89.0,0.18761726078799779
1996Q4,89.66666666666667,0.7490636704119868
1997Q1,90.10000000000001,0.4832713754646889
1997Q2,90.23333333333333,0.14798372179058994
1997Q3,90.53333333333335,0.3324713705208815
1997Q4,90.56666666666666,0.03681885125181861
1998Q1,91.09999999999998,0.5888847994111046
1998Q2,91.10000000000001,2.220446049250313e-14
1998Q3,91.2,0.1097694840834107
1998Q4,91.59999999999998,0.43859649122803823
1999Q1,91.86666666666667,0.29112081513831267
1999Q2,92.56666666666666,0.7619738751814209
1999Q3,93.16666666666667,0.6481814908174455
1999Q4,93.76666666666667,0.6440071556350624
2000Q1,94.36666666666667,0.6398862424457974
2000Q2,94.8,0.4592016955139444
2000Q3,95.66666666666667,0.9142053445851062
2000Q4,96.7,1.0801393728222974
2001Q1,96.93333333333334,0.24129610479144414
2001Q2,98.2,1.3067400275103225
2001Q3,98.23333333333333,0.03394433129666474
2001Q4,97.73333333333333,-0.5089921954530063
2002Q1,98.43333333333334,0.7162346521146112
2002Q2,99.5,1.083643752116492
2002Q3,100.60000000000001,1.1055276381909618
2002Q4,101.46666666666665,0.8614976805831454
2003Q1,102.76666666666667,1.2812089356110556
2003Q2,102.23333333333333,-0.5189750243269509
2003Q3,102.76666666666667,0.5216824258232888
2003Q4,103.2,0.42166720726566354
2004Q1,103.7,0.4844961240310086
2004Q2,104.5,0.7714561234329675
2004Q3,104.76666666666667,0.25518341307815273
2004Q4,105.56666666666666,0.7636016544702473
2005Q1,105.96666666666665,0.3789074834227968
2005Q2,106.43333333333334,0.4403900597672372
2005Q3,107.46666666666665,0.9708737864077444
2005Q4,108.0,0.496277915632759
2006Q1,108.66666666666667,0.6172839506172867
2006Q2,109.13333333333333,0.4294478527607337
2006Q3,109.2,0.06108735491754391
2006Q4,109.5,0.27472527472527375
2007Q1,110.66666666666667,1.0654490106544845
2007Q2,111.43333333333334,0.6927710843373402
2007Q3,111.46666666666665,0.029913251570423682
2007Q4,112.23333333333333,0.6877990430622205
2008Q1,112.60000000000001,0.32670032670032434
2008Q2,114.10000000000001,1.3321492007104752
2008Q3,115.43333333333334,1.1685655857434973
2008Q4,114.3,-0.9818076812012744
2009Q1,113.93333333333334,-0.3207932341790509
2009Q2,114.2,0.2340550029256816
2009Q3,114.46666666666665,0.23350846468184194
2009Q4,115.2,0.6406523005241915
2010Q1,115.76666666666667,0.4918981481481399
2010Q2,115.76666666666667,0.0
2010Q3,116.60000000000001,0.7198387561186292
2010Q4,117.76666666666667,1.0005717552887372
2011Q1,118.60000000000001,0.7076139258420655
2011Q2,119.73333333333333,0.9555930297920012
2011Q3,120.13333333333333,0.33407572383072903
2011Q4,120.89999999999999,0.638179800221983
2012Q1,121.46666666666665,0.46870692031981687
2012Q2,121.53333333333335,0.054884742041738654
2012Q3,121.60000000000001,0.054854635216683434
2012Q4,122.10000000000001,0.41118421052630527
2013Q1,122.60000000000001,0.40950040950040734
