quarter,CPI_level_forecast,GDP_level_forecast
2025Q2,163.711406,2467765.523337
2025Q3,164.646248,2486116.32178
2025Q4,165.065925,2508015.142557
2026Q1,165.112561,2516063.416459
2026Q2,165.251782,2515158.902579
2026Q3,165.072954,2517300.710588
2026Q4,164.610598,2521824.38929
2027Q1,164.010565,2515097.682307
