DATEQ,tpuq_qoq_pct,tariffvol_qoq_pct
1960Q1,,
1960Q2,13.240038445412704,36.668434781959625
1960Q3,-8.422354310406643,-33.954666336788875
1960Q4,6.584291286326716,-6.854084078663614
1961Q1,11.398105439430273,-34.355027935337766
1961Q2,-18.89947612840559,11.061899289053834
1961Q3,15.86819641319217,-18.791510689622058
1961Q4,80.82999596930588,18.812762778321712
1962Q1,23.93785880152879,37.589515852179154
1962Q2,-18.99773107609246,-29.460427633579556
1962Q3,0.5788670536099438,11.065123121641896
1962Q4,-25.51877373560477,16.511188126707243
1963Q1,58.65151483234874,-30.367683515945863
1963Q2,-33.76410222399956,-15.094886193297462
1963Q3,0.6332812396475429,10.06597157543261
1963Q4,3.7990121970215007,-17.70955417596599
1964Q1,-2.0945097379302724,-24.089492942597335
1964Q2,-23.46127211127692,-29.046244224767502
1964Q3,-28.26930295873157,19.181982964692736
1964Q4,136.77004664246564,31.405472663081046
1965Q1,-20.308983622840316,106.88096752336284
1965Q2,-38.708396711624275,-26.920266679036743
1965Q3,-3.2376447396565866,-4.305904626367396
1965Q4,7.860291592084057,6.208534790487374
1966Q1,-17.090811804789052,-16.356343225860304
1966Q2,19.59669794976775,19.201885055182053
1966Q3,-17.569396475756715,61.19272155476321
1966Q4,21.729600393544256,-29.461609662964015
1967Q1,29.07649843127478,-13.938754216806226
1967Q2,35.4586630347348,-3.2020493495372837
1967Q3,-40.54381244526265,36.745984412842915
1967Q4,42.05842896034439,-27.85630926755348
1968Q1,14.469664361633928,-8.0171538508373
1968Q2,-25.36426802171703,-17.499273723912435
1968Q3,-17.915772650836658,-24.642334278613763
1968Q4,27.977143877885368,-13.192764293161574
1969Q1,-10.59753043860553,22.76845693079217
1969Q2,0.22926094942290476,51.4787688578221
1969Q3,-22.16295062221073,14.526061410873359
1969Q4,38.50220433509157,18.225468547081203
1970Q1,33.13488484713418,-30.37947238730996
1970Q2,-30.939769681982877,-15.32271001579858
1970Q3,72.75625345458177,-13.91443168121862
1970Q4,-24.218018458257994,-16.13734905185895
1971Q1,-7.065104746382489,21.069208325110502
1971Q2,-4.950523219432501,24.96017364023071
1971Q3,213.5063532639672,205.42284451553115
1971Q4,-10.821146126984916,143.03168678692808
1972Q1,-45.89691019658554,67.74106984438374
1972Q2,-11.07854491267588,-36.802506380248126
1972Q3,-10.557546095351267,-42.48069012557368
1972Q4,-6.294257919114243,-43.85844502505546
1973Q1,51.96143506814974,-42.03785308993867
1973Q2,-20.41231571972061,65.68224708850157
1973Q3,-19.909842918963395,-4.218621593295091
1973Q4,5.338849419606517,-6.126714219276764
1974Q1,-0.3093773670114319,-8.685116276106886
1974Q2,-11.663784599028626,30.800361621544937
1974Q3,-0.5109410129811365,-26.58227671832847
1974Q4,48.43190071208148,-35.97124648058866
1975Q1,106.32305058484009,142.40667282667627
1975Q2,-36.40772923283565,105.6885037370908
1975Q3,-17.125500033398076,19.66311788627022
1975Q4,-27.36524421088946,-36.40381889023004
1976Q1,-4.579668165637352,165.54691763980873
1976Q2,-12.857051842527923,-40.00085124767131
