REF_DATE,Final consumption expenditure,Gross fixed capital formation,General governments final consumption expenditure,Exports of goods and services,Less: imports of goods and services
1990-04-01,-0.011298727950839194,-0.024463787856747743,-0.011918117739517342,0.03575095204881862,0.0024270699424775444
1990-07-01,0.006715109448567347,-0.027820986104755363,0.021849378039439316,-0.005814265196571355,-0.01908923614961111
1990-10-01,0.0009683172113312821,-0.0365179647192555,0.01108312215870555,-0.026900755326526138,-0.013481573469816155
1991-01-01,-0.01571634744621342,0.008323035324007577,-0.005196080582527074,-0.020613080984356102,0.002434335590365322
1991-04-01,0.01726303392047157,-0.011490445005645,0.018621732112725553,0.04327253148727195,0.019097940751667153
1991-07-01,-0.002459871032474581,0.003254284993900569,-0.0072817294224503115,0.03764543483049643,0.045245939913845845
1991-10-01,0.006402797868151566,0.013812302788400288,0.007785928968502276,-0.0016500433323880515,0.018990259568967716
1992-01-01,0.0007107598836118001,-0.006959951574938117,0.0016098212112556354,0.00875764610480445,-0.0012321190307051921
1992-04-01,0.0012236473582234453,-0.0422370606301552,-0.005647350412164798,0.027895495877363174,0.010599802060550445
1992-07-01,0.0036853293043925817,0.019990463628204225,-0.00021143613266083605,0.01516011499497516,0.01646623954333748
1992-10-01,0.007315815835998052,-0.042273518267828436,0.01594307605693679,0.026991664037243623,-0.021014517737214078
1993-01-01,0.0008990103219534973,-0.011142073440090883,-0.009612990948491884,0.03557926589577498,0.044386403627663995
1993-04-01,0.0038164709015511278,0.02348937720045008,0.004260253194740216,0.028243015153396556,0.03095150386894474
1993-07-01,0.0012250464217533619,0.02144779596040891,-0.01162573916470322,0.0076502334848811415,0.00576063482869138
1993-10-01,0.001542344899732484,0.013709345224839353,-0.0008149698206363354,0.02871235553933893,0.025815441130486505
1994-01-01,0.007284855719211336,0.012870044629696764,-0.014673431227578249,0.006517504791705875,-0.0004993281203446998
1994-04-01,0.0047287720920898835,0.03091433653901632,0.012578415760861716,0.06865075797279196,0.045027053552397334
1994-07-01,0.0033806976073567085,0.0006214022897932381,0.0009484418134650952,0.03866430840160184,0.009177005331272525
1994-10-01,0.006830147450250124,0.007018482575405827,-0.005190448490454358,0.03885828585407225,0.04634464294177576
1995-01-01,-0.0005958058020851809,-0.025159329522521645,-0.001153866793396574,0.027261551915989557,0.00019592834398629577
1995-04-01,0.004662651267446805,-0.0023621451720163833,-0.002947265550755418,-0.021843222359624548,0.0079771296724509
1995-07-01,0.005557086001655165,-0.0024192729963168347,-0.00811245230641866,0.001034672450572316,-0.004456967994936889
