quarter,GDP_level_forecast
2025Q2,2467765.523337
2025Q3,2486116.32178
2025Q4,2508015.142557
2026Q1,2516063.416459
2026Q2,2515158.902579
2026Q3,2517300.710588
2026Q4,2521824.38929
2027Q1,2515097.682307
