quarter,gdp_level,cpi_level
2025Q2,2463369.252542054,163.65426249551243
2025Q3,2482003.048323329,164.56119996438574
2025Q4,2504737.3509904873,165.57240188043383
2026Q1,2523931.3804218653,166.59758027948456
2026Q2,2539050.142882864,167.72592420045552
2026Q3,2553913.4367893925,168.97352152135946
2026Q4,2567298.2292007785,170.33249097696225
2027Q1,2578825.3312127516,171.78843130584733
