quarter,CPI_level_forecast
2025Q2,163.711406
2025Q3,164.646248
2025Q4,165.065925
2026Q1,165.112561
2026Q2,165.251782
2026Q3,165.072954
2026Q4,164.610598
2027Q1,164.010565
