quarter,CPI_level_forecast
2025Q2,163.803726
2025Q3,164.263126
2025Q4,164.640554
2026Q1,164.944934
2026Q2,165.176565
2026Q3,165.339172
2026Q4,165.436672
2027Q1,165.473604
