quarter,CPI_level_forecast
2025Q2,163.947394
2025Q3,165.201998
2025Q4,166.685486
2026Q1,168.256442
2026Q2,170.264793
2026Q3,172.693155
2026Q4,175.464993
2027Q1,178.529183
