quarter,GDP_level_forecast
2025Q2,2463011.018836
2025Q3,2482444.331655
2025Q4,2515002.30394
2026Q1,2540280.761767
2026Q2,2562474.458454
2026Q3,2591040.458016
2026Q4,2624778.649399
2027Q1,2653192.977564
